i,t,n,b,D
1,1,1,1,255.4
1,1,1,2,274.3
1,1,1,3,115
1,1,1,4,221.4
1,1,2,1,272.1
1,1,2,2,238.5
1,1,2,3,293.5
1,1,2,4,147.6
1,2,1,1,208.9
1,2,1,2,297.4
1,2,1,3,261.3
1,2,1,4,133.4
1,2,2,1,191.1
1,2,2,2,136
1,2,2,3,237.8
1,2,2,4,197.1
2,1,1,1,0
2,1,1,2,0
2,1,1,3,0
2,1,1,4,0
2,1,2,1,0
2,1,2,2,0
2,1,2,3,0
2,1,2,4,0
2,2,1,1,0
2,2,1,2,0
2,2,1,3,0
2,2,1,4,0
2,2,2,1,0
2,2,2,2,0
2,2,2,3,0
2,2,2,4,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,0
3,1,1,4,0
3,1,2,1,0
3,1,2,2,0
3,1,2,3,0
3,1,2,4,0
3,2,1,1,0
3,2,1,2,0
3,2,1,3,0
3,2,1,4,0
3,2,2,1,0
3,2,2,2,0
3,2,2,3,0
3,2,2,4,0
4,1,1,1,0
4,1,1,2,0
4,1,1,3,0
4,1,1,4,0
4,1,2,1,0
4,1,2,2,0
4,1,2,3,0
4,1,2,4,0
4,2,1,1,0
4,2,1,2,0
4,2,1,3,0
4,2,1,4,0
4,2,2,1,0
4,2,2,2,0
4,2,2,3,0
4,2,2,4,0
5,1,1,1,131.8
5,1,1,2,181.9
5,1,1,3,213.4
5,1,1,4,159.3
5,1,2,1,149.7
5,1,2,2,271.5
5,1,2,3,176.4
5,1,2,4,218.1
5,2,1,1,273.2
5,2,1,2,147.2
5,2,1,3,187.3
5,2,1,4,199.7
5,2,2,1,288.8
5,2,2,2,211.9
5,2,2,3,149
5,2,2,4,232.6
6,1,1,1,0
6,1,1,2,0
6,1,1,3,0
6,1,1,4,0
6,1,2,1,0
6,1,2,2,0
6,1,2,3,0
6,1,2,4,0
6,2,1,1,0
6,2,1,2,0
6,2,1,3,0
6,2,1,4,0
6,2,2,1,0
6,2,2,2,0
6,2,2,3,0
6,2,2,4,0
7,1,1,1,0
7,1,1,2,0
7,1,1,3,0
7,1,1,4,0
7,1,2,1,0
7,1,2,2,0
7,1,2,3,0
7,1,2,4,0
7,2,1,1,0
7,2,1,2,0
7,2,1,3,0
7,2,1,4,0
7,2,2,1,0
7,2,2,2,0
7,2,2,3,0
7,2,2,4,0
8,1,1,1,0
8,1,1,2,0
8,1,1,3,0
8,1,1,4,0
8,1,2,1,0
8,1,2,2,0
8,1,2,3,0
8,1,2,4,0
8,2,1,1,0
8,2,1,2,0
8,2,1,3,0
8,2,1,4,0
8,2,2,1,0
8,2,2,2,0
8,2,2,3,0
8,2,2,4,0
9,1,1,1,157.5
9,1,1,2,145
9,1,1,3,290.6
9,1,1,4,156.6
9,1,2,1,245.4
9,1,2,2,211.3
9,1,2,3,206.1
9,1,2,4,231.2
9,2,1,1,277.9
9,2,1,2,199.9
9,2,1,3,200.6
9,2,1,4,228.6
9,2,2,1,246.9
9,2,2,2,111.7
9,2,2,3,154.4
9,2,2,4,236.1
10,1,1,1,0
10,1,1,2,0
10,1,1,3,0
10,1,1,4,0
10,1,2,1,0
10,1,2,2,0
10,1,2,3,0
10,1,2,4,0
10,2,1,1,0
10,2,1,2,0
10,2,1,3,0
10,2,1,4,0
10,2,2,1,0
10,2,2,2,0
10,2,2,3,0
10,2,2,4,0
11,1,1,1,0
11,1,1,2,0
11,1,1,3,0
11,1,1,4,0
11,1,2,1,0
11,1,2,2,0
11,1,2,3,0
11,1,2,4,0
11,2,1,1,0
11,2,1,2,0
11,2,1,3,0
11,2,1,4,0
11,2,2,1,0
11,2,2,2,0
11,2,2,3,0
11,2,2,4,0
12,1,1,1,0
12,1,1,2,0
12,1,1,3,0
12,1,1,4,0
12,1,2,1,0
12,1,2,2,0
12,1,2,3,0
12,1,2,4,0
12,2,1,1,0
12,2,1,2,0
12,2,1,3,0
12,2,1,4,0
12,2,2,1,0
12,2,2,2,0
12,2,2,3,0
12,2,2,4,0
13,1,1,1,237.4
13,1,1,2,254.3
13,1,1,3,289.8
13,1,1,4,240.8
13,1,2,1,277.2
13,1,2,2,179.2
13,1,2,3,299.3
13,1,2,4,270.2
13,2,1,1,272.9
13,2,1,2,256.1
13,2,1,3,221.6
13,2,1,4,135.1
13,2,2,1,170.2
13,2,2,2,193.5
13,2,2,3,261.2
13,2,2,4,206
14,1,1,1,0
14,1,1,2,0
14,1,1,3,0
14,1,1,4,0
14,1,2,1,0
14,1,2,2,0
14,1,2,3,0
14,1,2,4,0
14,2,1,1,0
14,2,1,2,0
14,2,1,3,0
14,2,1,4,0
14,2,2,1,0
14,2,2,2,0
14,2,2,3,0
14,2,2,4,0
15,1,1,1,0
15,1,1,2,0
15,1,1,3,0
15,1,1,4,0
15,1,2,1,0
15,1,2,2,0
15,1,2,3,0
15,1,2,4,0
15,2,1,1,0
15,2,1,2,0
15,2,1,3,0
15,2,1,4,0
15,2,2,1,0
15,2,2,2,0
15,2,2,3,0
15,2,2,4,0
16,1,1,1,0
16,1,1,2,0
16,1,1,3,0
16,1,1,4,0
16,1,2,1,0
16,1,2,2,0
16,1,2,3,0
16,1,2,4,0
16,2,1,1,0
16,2,1,2,0
16,2,1,3,0
16,2,1,4,0
16,2,2,1,0
16,2,2,2,0
16,2,2,3,0
16,2,2,4,0
17,1,1,1,255.4
17,1,1,2,274.3
17,1,1,3,115
17,1,1,4,221.4
17,1,2,1,272.1
17,1,2,2,238.5
17,1,2,3,293.5
17,1,2,4,147.6
17,2,1,1,208.9
17,2,1,2,297.4
17,2,1,3,261.3
17,2,1,4,133.4
17,2,2,1,191.1
17,2,2,2,136
17,2,2,3,237.8
17,2,2,4,197.1
18,1,1,1,0
18,1,1,2,0
18,1,1,3,0
18,1,1,4,0
18,1,2,1,0
18,1,2,2,0
18,1,2,3,0
18,1,2,4,0
18,2,1,1,0
18,2,1,2,0
18,2,1,3,0
18,2,1,4,0
18,2,2,1,0
18,2,2,2,0
18,2,2,3,0
18,2,2,4,0
19,1,1,1,0
19,1,1,2,0
19,1,1,3,0
19,1,1,4,0
19,1,2,1,0
19,1,2,2,0
19,1,2,3,0
19,1,2,4,0
19,2,1,1,0
19,2,1,2,0
19,2,1,3,0
19,2,1,4,0
19,2,2,1,0
19,2,2,2,0
19,2,2,3,0
19,2,2,4,0
20,1,1,1,0
20,1,1,2,0
20,1,1,3,0
20,1,1,4,0
20,1,2,1,0
20,1,2,2,0
20,1,2,3,0
20,1,2,4,0
20,2,1,1,0
20,2,1,2,0
20,2,1,3,0
20,2,1,4,0
20,2,2,1,0
20,2,2,2,0
20,2,2,3,0
20,2,2,4,0
21,1,1,1,157.5
21,1,1,2,145
21,1,1,3,290.6
21,1,1,4,156.6
21,1,2,1,245.4
21,1,2,2,211.3
21,1,2,3,206.1
21,1,2,4,231.2
21,2,1,1,277.9
21,2,1,2,199.9
21,2,1,3,200.6
21,2,1,4,228.6
21,2,2,1,246.9
21,2,2,2,111.7
21,2,2,3,154.4
21,2,2,4,236.1
22,1,1,1,0
22,1,1,2,0
22,1,1,3,0
22,1,1,4,0
22,1,2,1,0
22,1,2,2,0
22,1,2,3,0
22,1,2,4,0
22,2,1,1,0
22,2,1,2,0
22,2,1,3,0
22,2,1,4,0
22,2,2,1,0
22,2,2,2,0
22,2,2,3,0
22,2,2,4,0
23,1,1,1,0
23,1,1,2,0
23,1,1,3,0
23,1,1,4,0
23,1,2,1,0
23,1,2,2,0
23,1,2,3,0
23,1,2,4,0
23,2,1,1,0
23,2,1,2,0
23,2,1,3,0
23,2,1,4,0
23,2,2,1,0
23,2,2,2,0
23,2,2,3,0
23,2,2,4,0
24,1,1,1,0
24,1,1,2,0
24,1,1,3,0
24,1,1,4,0
24,1,2,1,0
24,1,2,2,0
24,1,2,3,0
24,1,2,4,0
24,2,1,1,0
24,2,1,2,0
24,2,1,3,0
24,2,1,4,0
24,2,2,1,0
24,2,2,2,0
24,2,2,3,0
24,2,2,4,0
25,1,1,1,131.8
25,1,1,2,181.9
25,1,1,3,213.4
25,1,1,4,159.3
25,1,2,1,149.7
25,1,2,2,271.5
25,1,2,3,176.4
25,1,2,4,218.1
25,2,1,1,273.2
25,2,1,2,147.2
25,2,1,3,187.3
25,2,1,4,199.7
25,2,2,1,288.8
25,2,2,2,211.9
25,2,2,3,149
25,2,2,4,232.6
26,1,1,1,255.4
26,1,1,2,274.3
26,1,1,3,115
26,1,1,4,221.4
26,1,2,1,272.1
26,1,2,2,238.5
26,1,2,3,293.5
26,1,2,4,147.6
26,2,1,1,208.9
26,2,1,2,297.4
26,2,1,3,261.3
26,2,1,4,133.4
26,2,2,1,191.1
26,2,2,2,136
26,2,2,3,237.8
26,2,2,4,197.1
27,1,1,1,0
27,1,1,2,0
27,1,1,3,0
27,1,1,4,0
27,1,2,1,0
27,1,2,2,0
27,1,2,3,0
27,1,2,4,0
27,2,1,1,0
27,2,1,2,0
27,2,1,3,0
27,2,1,4,0
27,2,2,1,0
27,2,2,2,0
27,2,2,3,0
27,2,2,4,0
28,1,1,1,0
28,1,1,2,0
28,1,1,3,0
28,1,1,4,0
28,1,2,1,0
28,1,2,2,0
28,1,2,3,0
28,1,2,4,0
28,2,1,1,0
28,2,1,2,0
28,2,1,3,0
28,2,1,4,0
28,2,2,1,0
28,2,2,2,0
28,2,2,3,0
28,2,2,4,0
29,1,1,1,0
29,1,1,2,0
29,1,1,3,0
29,1,1,4,0
29,1,2,1,0
29,1,2,2,0
29,1,2,3,0
29,1,2,4,0
29,2,1,1,0
29,2,1,2,0
29,2,1,3,0
29,2,1,4,0
29,2,2,1,0
29,2,2,2,0
29,2,2,3,0
29,2,2,4,0
30,1,1,1,131.8
30,1,1,2,181.9
30,1,1,3,213.4
30,1,1,4,159.3
30,1,2,1,149.7
30,1,2,2,271.5
30,1,2,3,176.4
30,1,2,4,218.1
30,2,1,1,273.2
30,2,1,2,147.2
30,2,1,3,187.3
30,2,1,4,199.7
30,2,2,1,288.8
30,2,2,2,211.9
30,2,2,3,149
30,2,2,4,232.6
31,1,1,1,0
31,1,1,2,0
31,1,1,3,0
31,1,1,4,0
31,1,2,1,0
31,1,2,2,0
31,1,2,3,0
31,1,2,4,0
31,2,1,1,0
31,2,1,2,0
31,2,1,3,0
31,2,1,4,0
31,2,2,1,0
31,2,2,2,0
31,2,2,3,0
31,2,2,4,0
32,1,1,1,0
32,1,1,2,0
32,1,1,3,0
32,1,1,4,0
32,1,2,1,0
32,1,2,2,0
32,1,2,3,0
32,1,2,4,0
32,2,1,1,0
32,2,1,2,0
32,2,1,3,0
32,2,1,4,0
32,2,2,1,0
32,2,2,2,0
32,2,2,3,0
32,2,2,4,0
33,1,1,1,0
33,1,1,2,0
33,1,1,3,0
33,1,1,4,0
33,1,2,1,0
33,1,2,2,0
33,1,2,3,0
33,1,2,4,0
33,2,1,1,0
33,2,1,2,0
33,2,1,3,0
33,2,1,4,0
33,2,2,1,0
33,2,2,2,0
33,2,2,3,0
33,2,2,4,0
34,1,1,1,157.5
34,1,1,2,145
34,1,1,3,290.6
34,1,1,4,156.6
34,1,2,1,245.4
34,1,2,2,211.3
34,1,2,3,206.1
34,1,2,4,231.2
34,2,1,1,277.9
34,2,1,2,199.9
34,2,1,3,200.6
34,2,1,4,228.6
34,2,2,1,246.9
34,2,2,2,111.7
34,2,2,3,154.4
34,2,2,4,236.1
35,1,1,1,0
35,1,1,2,0
35,1,1,3,0
35,1,1,4,0
35,1,2,1,0
35,1,2,2,0
35,1,2,3,0
35,1,2,4,0
35,2,1,1,0
35,2,1,2,0
35,2,1,3,0
35,2,1,4,0
35,2,2,1,0
35,2,2,2,0
35,2,2,3,0
35,2,2,4,0
36,1,1,1,0
36,1,1,2,0
36,1,1,3,0
36,1,1,4,0
36,1,2,1,0
36,1,2,2,0
36,1,2,3,0
36,1,2,4,0
36,2,1,1,0
36,2,1,2,0
36,2,1,3,0
36,2,1,4,0
36,2,2,1,0
36,2,2,2,0
36,2,2,3,0
36,2,2,4,0
37,1,1,1,0
37,1,1,2,0
37,1,1,3,0
37,1,1,4,0
37,1,2,1,0
37,1,2,2,0
37,1,2,3,0
37,1,2,4,0
37,2,1,1,0
37,2,1,2,0
37,2,1,3,0
37,2,1,4,0
37,2,2,1,0
37,2,2,2,0
37,2,2,3,0
37,2,2,4,0
38,1,1,1,237.4
38,1,1,2,254.3
38,1,1,3,289.8
38,1,1,4,240.8
38,1,2,1,277.2
38,1,2,2,179.2
38,1,2,3,299.3
38,1,2,4,270.2
38,2,1,1,272.9
38,2,1,2,256.1
38,2,1,3,221.6
38,2,1,4,135.1
38,2,2,1,170.2
38,2,2,2,193.5
38,2,2,3,261.2
38,2,2,4,206
39,1,1,1,0
39,1,1,2,0
39,1,1,3,0
39,1,1,4,0
39,1,2,1,0
39,1,2,2,0
39,1,2,3,0
39,1,2,4,0
39,2,1,1,0
39,2,1,2,0
39,2,1,3,0
39,2,1,4,0
39,2,2,1,0
39,2,2,2,0
39,2,2,3,0
39,2,2,4,0
40,1,1,1,0
40,1,1,2,0
40,1,1,3,0
40,1,1,4,0
40,1,2,1,0
40,1,2,2,0
40,1,2,3,0
40,1,2,4,0
40,2,1,1,0
40,2,1,2,0
40,2,1,3,0
40,2,1,4,0
40,2,2,1,0
40,2,2,2,0
40,2,2,3,0
40,2,2,4,0
41,1,1,1,0
41,1,1,2,0
41,1,1,3,0
41,1,1,4,0
41,1,2,1,0
41,1,2,2,0
41,1,2,3,0
41,1,2,4,0
41,2,1,1,0
41,2,1,2,0
41,2,1,3,0
41,2,1,4,0
41,2,2,1,0
41,2,2,2,0
41,2,2,3,0
41,2,2,4,0
42,1,1,1,255.4
42,1,1,2,274.3
42,1,1,3,115
42,1,1,4,221.4
42,1,2,1,272.1
42,1,2,2,238.5
42,1,2,3,293.5
42,1,2,4,147.6
42,2,1,1,208.9
42,2,1,2,297.4
42,2,1,3,261.3
42,2,1,4,133.4
42,2,2,1,191.1
42,2,2,2,136
42,2,2,3,237.8
42,2,2,4,197.1
43,1,1,1,0
43,1,1,2,0
43,1,1,3,0
43,1,1,4,0
43,1,2,1,0
43,1,2,2,0
43,1,2,3,0
43,1,2,4,0
43,2,1,1,0
43,2,1,2,0
43,2,1,3,0
43,2,1,4,0
43,2,2,1,0
43,2,2,2,0
43,2,2,3,0
43,2,2,4,0
44,1,1,1,0
44,1,1,2,0
44,1,1,3,0
44,1,1,4,0
44,1,2,1,0
44,1,2,2,0
44,1,2,3,0
44,1,2,4,0
44,2,1,1,0
44,2,1,2,0
44,2,1,3,0
44,2,1,4,0
44,2,2,1,0
44,2,2,2,0
44,2,2,3,0
44,2,2,4,0
45,1,1,1,0
45,1,1,2,0
45,1,1,3,0
45,1,1,4,0
45,1,2,1,0
45,1,2,2,0
45,1,2,3,0
45,1,2,4,0
45,2,1,1,0
45,2,1,2,0
45,2,1,3,0
45,2,1,4,0
45,2,2,1,0
45,2,2,2,0
45,2,2,3,0
45,2,2,4,0
46,1,1,1,157.5
46,1,1,2,145
46,1,1,3,290.6
46,1,1,4,156.6
46,1,2,1,245.4
46,1,2,2,211.3
46,1,2,3,206.1
46,1,2,4,231.2
46,2,1,1,277.9
46,2,1,2,199.9
46,2,1,3,200.6
46,2,1,4,228.6
46,2,2,1,246.9
46,2,2,2,111.7
46,2,2,3,154.4
46,2,2,4,236.1
47,1,1,1,0
47,1,1,2,0
47,1,1,3,0
47,1,1,4,0
47,1,2,1,0
47,1,2,2,0
47,1,2,3,0
47,1,2,4,0
47,2,1,1,0
47,2,1,2,0
47,2,1,3,0
47,2,1,4,0
47,2,2,1,0
47,2,2,2,0
47,2,2,3,0
47,2,2,4,0
48,1,1,1,0
48,1,1,2,0
48,1,1,3,0
48,1,1,4,0
48,1,2,1,0
48,1,2,2,0
48,1,2,3,0
48,1,2,4,0
48,2,1,1,0
48,2,1,2,0
48,2,1,3,0
48,2,1,4,0
48,2,2,1,0
48,2,2,2,0
48,2,2,3,0
48,2,2,4,0
49,1,1,1,0
49,1,1,2,0
49,1,1,3,0
49,1,1,4,0
49,1,2,1,0
49,1,2,2,0
49,1,2,3,0
49,1,2,4,0
49,2,1,1,0
49,2,1,2,0
49,2,1,3,0
49,2,1,4,0
49,2,2,1,0
49,2,2,2,0
49,2,2,3,0
49,2,2,4,0
50,1,1,1,131.8
50,1,1,2,181.9
50,1,1,3,213.4
50,1,1,4,159.3
50,1,2,1,149.7
50,1,2,2,271.5
50,1,2,3,176.4
50,1,2,4,218.1
50,2,1,1,273.2
50,2,1,2,147.2
50,2,1,3,187.3
50,2,1,4,199.7
50,2,2,1,288.8
50,2,2,2,211.9
50,2,2,3,149
50,2,2,4,232.6
51,1,1,1,255.4
51,1,1,2,274.3
51,1,1,3,115
51,1,1,4,221.4
51,1,2,1,272.1
51,1,2,2,238.5
51,1,2,3,293.5
51,1,2,4,147.6
51,2,1,1,208.9
51,2,1,2,297.4
51,2,1,3,261.3
51,2,1,4,133.4
51,2,2,1,191.1
51,2,2,2,136
51,2,2,3,237.8
51,2,2,4,197.1
52,1,1,1,0
52,1,1,2,0
52,1,1,3,0
52,1,1,4,0
52,1,2,1,0
52,1,2,2,0
52,1,2,3,0
52,1,2,4,0
52,2,1,1,0
52,2,1,2,0
52,2,1,3,0
52,2,1,4,0
52,2,2,1,0
52,2,2,2,0
52,2,2,3,0
52,2,2,4,0
53,1,1,1,0
53,1,1,2,0
53,1,1,3,0
53,1,1,4,0
53,1,2,1,0
53,1,2,2,0
53,1,2,3,0
53,1,2,4,0
53,2,1,1,0
53,2,1,2,0
53,2,1,3,0
53,2,1,4,0
53,2,2,1,0
53,2,2,2,0
53,2,2,3,0
53,2,2,4,0
54,1,1,1,0
54,1,1,2,0
54,1,1,3,0
54,1,1,4,0
54,1,2,1,0
54,1,2,2,0
54,1,2,3,0
54,1,2,4,0
54,2,1,1,0
54,2,1,2,0
54,2,1,3,0
54,2,1,4,0
54,2,2,1,0
54,2,2,2,0
54,2,2,3,0
54,2,2,4,0
55,1,1,1,131.8
55,1,1,2,181.9
55,1,1,3,213.4
55,1,1,4,159.3
55,1,2,1,149.7
55,1,2,2,271.5
55,1,2,3,176.4
55,1,2,4,218.1
55,2,1,1,273.2
55,2,1,2,147.2
55,2,1,3,187.3
55,2,1,4,199.7
55,2,2,1,288.8
55,2,2,2,211.9
55,2,2,3,149
55,2,2,4,232.6
56,1,1,1,0
56,1,1,2,0
56,1,1,3,0
56,1,1,4,0
56,1,2,1,0
56,1,2,2,0
56,1,2,3,0
56,1,2,4,0
56,2,1,1,0
56,2,1,2,0
56,2,1,3,0
56,2,1,4,0
56,2,2,1,0
56,2,2,2,0
56,2,2,3,0
56,2,2,4,0
57,1,1,1,0
57,1,1,2,0
57,1,1,3,0
57,1,1,4,0
57,1,2,1,0
57,1,2,2,0
57,1,2,3,0
57,1,2,4,0
57,2,1,1,0
57,2,1,2,0
57,2,1,3,0
57,2,1,4,0
57,2,2,1,0
57,2,2,2,0
57,2,2,3,0
57,2,2,4,0
58,1,1,1,0
58,1,1,2,0
58,1,1,3,0
58,1,1,4,0
58,1,2,1,0
58,1,2,2,0
58,1,2,3,0
58,1,2,4,0
58,2,1,1,0
58,2,1,2,0
58,2,1,3,0
58,2,1,4,0
58,2,2,1,0
58,2,2,2,0
58,2,2,3,0
58,2,2,4,0
59,1,1,1,157.5
59,1,1,2,145
59,1,1,3,290.6
59,1,1,4,156.6
59,1,2,1,245.4
59,1,2,2,211.3
59,1,2,3,206.1
59,1,2,4,231.2
59,2,1,1,277.9
59,2,1,2,199.9
59,2,1,3,200.6
59,2,1,4,228.6
59,2,2,1,246.9
59,2,2,2,111.7
59,2,2,3,154.4
59,2,2,4,236.1
60,1,1,1,0
60,1,1,2,0
60,1,1,3,0
60,1,1,4,0
60,1,2,1,0
60,1,2,2,0
60,1,2,3,0
60,1,2,4,0
60,2,1,1,0
60,2,1,2,0
60,2,1,3,0
60,2,1,4,0
60,2,2,1,0
60,2,2,2,0
60,2,2,3,0
60,2,2,4,0
61,1,1,1,0
61,1,1,2,0
61,1,1,3,0
61,1,1,4,0
61,1,2,1,0
61,1,2,2,0
61,1,2,3,0
61,1,2,4,0
61,2,1,1,0
61,2,1,2,0
61,2,1,3,0
61,2,1,4,0
61,2,2,1,0
61,2,2,2,0
61,2,2,3,0
61,2,2,4,0
62,1,1,1,0
62,1,1,2,0
62,1,1,3,0
62,1,1,4,0
62,1,2,1,0
62,1,2,2,0
62,1,2,3,0
62,1,2,4,0
62,2,1,1,0
62,2,1,2,0
62,2,1,3,0
62,2,1,4,0
62,2,2,1,0
62,2,2,2,0
62,2,2,3,0
62,2,2,4,0
63,1,1,1,237.4
63,1,1,2,254.3
63,1,1,3,289.8
63,1,1,4,240.8
63,1,2,1,277.2
63,1,2,2,179.2
63,1,2,3,299.3
63,1,2,4,270.2
63,2,1,1,272.9
63,2,1,2,256.1
63,2,1,3,221.6
63,2,1,4,135.1
63,2,2,1,170.2
63,2,2,2,193.5
63,2,2,3,261.2
63,2,2,4,206
64,1,1,1,0
64,1,1,2,0
64,1,1,3,0
64,1,1,4,0
64,1,2,1,0
64,1,2,2,0
64,1,2,3,0
64,1,2,4,0
64,2,1,1,0
64,2,1,2,0
64,2,1,3,0
64,2,1,4,0
64,2,2,1,0
64,2,2,2,0
64,2,2,3,0
64,2,2,4,0
65,1,1,1,0
65,1,1,2,0
65,1,1,3,0
65,1,1,4,0
65,1,2,1,0
65,1,2,2,0
65,1,2,3,0
65,1,2,4,0
65,2,1,1,0
65,2,1,2,0
65,2,1,3,0
65,2,1,4,0
65,2,2,1,0
65,2,2,2,0
65,2,2,3,0
65,2,2,4,0
66,1,1,1,0
66,1,1,2,0
66,1,1,3,0
66,1,1,4,0
66,1,2,1,0
66,1,2,2,0
66,1,2,3,0
66,1,2,4,0
66,2,1,1,0
66,2,1,2,0
66,2,1,3,0
66,2,1,4,0
66,2,2,1,0
66,2,2,2,0
66,2,2,3,0
66,2,2,4,0
67,1,1,1,255.4
67,1,1,2,274.3
67,1,1,3,115
67,1,1,4,221.4
67,1,2,1,272.1
67,1,2,2,238.5
67,1,2,3,293.5
67,1,2,4,147.6
67,2,1,1,208.9
67,2,1,2,297.4
67,2,1,3,261.3
67,2,1,4,133.4
67,2,2,1,191.1
67,2,2,2,136
67,2,2,3,237.8
67,2,2,4,197.1
68,1,1,1,0
68,1,1,2,0
68,1,1,3,0
68,1,1,4,0
68,1,2,1,0
68,1,2,2,0
68,1,2,3,0
68,1,2,4,0
68,2,1,1,0
68,2,1,2,0
68,2,1,3,0
68,2,1,4,0
68,2,2,1,0
68,2,2,2,0
68,2,2,3,0
68,2,2,4,0
69,1,1,1,0
69,1,1,2,0
69,1,1,3,0
69,1,1,4,0
69,1,2,1,0
69,1,2,2,0
69,1,2,3,0
69,1,2,4,0
69,2,1,1,0
69,2,1,2,0
69,2,1,3,0
69,2,1,4,0
69,2,2,1,0
69,2,2,2,0
69,2,2,3,0
69,2,2,4,0
70,1,1,1,0
70,1,1,2,0
70,1,1,3,0
70,1,1,4,0
70,1,2,1,0
70,1,2,2,0
70,1,2,3,0
70,1,2,4,0
70,2,1,1,0
70,2,1,2,0
70,2,1,3,0
70,2,1,4,0
70,2,2,1,0
